timestamp,temperature,T_target,sample
13:29:29,32.56,32.0,1471
13:29:30,31.59,20.0,1472
13:29:31,30.82,20.0,1473
13:29:32,30.15,20.0,1474
13:29:33,29.56,20.0,1475
13:29:34,28.98,20.0,1476
13:29:35,28.33,20.0,1477
13:29:36,27.73,20.0,1478
13:29:37,27.3,20.0,1479
13:29:38,26.74,20.0,1480
13:29:39,26.28,20.0,1481
13:29:40,25.95,20.0,1482
13:29:41,25.47,20.0,1483
13:29:42,25.05,20.0,1484
13:29:43,24.74,20.0,1485
13:29:44,24.32,20.0,1486
13:29:45,23.78,20.0,1487
13:29:46,23.47,20.0,1488
13:29:47,23.0,20.0,1489
13:29:48,22.78,20.0,1490
13:29:49,22.49,20.0,1491
13:29:50,22.34,20.0,1492
13:29:51,22.03,20.0,1493
13:29:52,21.79,20.0,1494
13:29:53,21.66,20.0,1495
13:29:54,21.64,20.0,1496
13:29:55,21.72,20.0,1497
13:29:56,21.59,20.0,1498
13:29:57,21.29,20.0,1499
13:29:58,21.32,20.0,1500
13:29:59,21.35,20.0,1501
13:30:00,21.25,21.35,1502
13:30:01,21.24,21.35,1503
13:30:02,21.4,21.35,1504
13:30:03,21.34,21.35,1505
13:30:04,21.42,21.35,1506
13:30:05,21.42,21.35,1507
13:30:06,21.33,21.35,1508
13:30:07,21.36,21.35,1509
13:30:08,21.46,21.35,1510
13:30:09,21.5,21.35,1511
13:30:10,21.45,21.35,1512
13:30:11,21.54,21.35,1513
13:30:12,21.52,21.35,1514
13:30:13,21.49,21.35,1515
13:30:14,21.5,21.35,1516
13:30:15,21.55,21.35,1517
13:30:16,21.62,21.35,1518
13:30:17,21.69,21.35,1519
13:30:18,21.71,21.35,1520
13:30:19,21.78,21.35,1521
13:30:20,21.87,21.35,1522
13:30:21,21.92,21.35,1523
13:30:22,21.96,21.35,1524
13:30:23,22.17,21.35,1525
13:30:24,22.19,21.35,1526
13:30:25,22.34,21.35,1527
13:30:26,22.25,21.35,1528
13:30:27,22.28,21.35,1529
13:30:28,22.3,21.35,1530
13:30:29,22.16,21.35,1531
13:30:30,22.23,22.16,1532
13:30:31,22.39,22.16,1533
13:30:32,22.27,22.16,1534
13:30:33,22.32,22.16,1535
13:30:34,22.43,22.16,1536
13:30:35,22.49,22.16,1537
13:30:36,22.6,22.16,1538
13:30:37,22.5,22.16,1539
13:30:38,22.57,22.16,1540
13:30:39,22.49,22.16,1541
13:30:40,22.44,22.16,1542
13:30:41,22.47,22.16,1543
13:30:42,22.54,22.16,1544
13:30:43,22.58,22.16,1545
13:30:44,22.63,22.16,1546
13:30:45,22.54,22.16,1547
13:30:46,22.44,22.16,1548
13:30:47,22.39,22.16,1549
